country,player,position,club,age,jersey_number,squad_status,announcement_date,group,confederation,is_final_squad
México,"( 1998-04-22 ) April 22, 1998 (Aged 28)",Defensa,Unknown,26,22,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-04-27 ) April 27, 1998 (Aged 28)",Defensa,Unknown,26,49,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-04-30 ) April 30, 1998 (Aged 28)",Defensa,Unknown,26,3,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-05-26 ) May 26, 1998 (Aged 28)",Defensa,Unknown,26,62,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-05-31 ) May 31, 1998 (Aged 28)",Defensa,Unknown,26,15,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-06-06 ) June 6, 1998 (Aged 28)",Defensa,Unknown,26,4,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-06-09 ) June 9, 1998 (Aged 28)",Defensa,Unknown,26,27,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-06-26 ) June 26, 1998 (Aged 27)",Defensa,Unknown,26,35,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-07-09 ) July 9, 1998 (Aged 27)",Defensa,Unknown,26,30,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-07-18 ) July 18, 1998 (Aged 27)",Defensa,Unknown,26,39,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-07-22 ) July 22, 1998 (Aged 27)",Defensa,Unknown,26,23,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-07-23 ) July 23, 1998 (Aged 27)",Defensa,Unknown,26,29,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-08-12 ) August 12, 1998 (Aged 27)",Defensa,Unknown,26,6,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-08-21 ) August 21, 1998 (Aged 27)",Defensa,Unknown,26,15,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-08-23 ) August 23, 1998 (Aged 27)",Defensa,Unknown,26,26,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-08-27 ) August 27, 1998 (Aged 27)",Defensa,Manchester City,26,19,Final,2026-05-26,A,CONCACAF,1
